nombre,email,ciudad_id
Juan David,juan@email.com,1
Maria Lopez,maria@email.com,2
Carlos Perez,carlos@email.com,1
Ana Torres,ana@email.com,3
Luis Martinez,luis@email.com,4
Sandra Gomez,sandra@email.com,5
Pedro Suarez,pedro@email.com,2
Natalia Pardo,natalia@email.com,6
Jorge Montoya,jorge@email.com,7
Elena Castro,elena@email.com,1
David Gonzalez,david@email.com,8
Laura Ruiz,laura@email.com,5
Andres Jimenez,andres@email.com,2
Rosa Diaz,rosa@email.com,6
Paula Moreno,paula@email.com,3
Esteban Vargas,esteban@email.com,4
